Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre,Publisher,platforms,Years_of_Release,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
ZhuZhu Pets: Featuring The Wild Bunch,0.3,0.03,0.0,0.03,0.36,Simulation,Activision,2,7.0,0,0,0,0,0,0,0,0,0,1,0,0
Danganronpa 2: Goodbye Despair,0.08,0.05,0.19,0.04,0.36,Misc,Spike,6,4.0,0,0,0,1,0,0,0,0,0,0,0,0
Yuu Yuu Hakusho,0.0,0.0,0.36,0.0,0.36,Fighting,Namco Bandai Games,4,24.0,0,0,1,0,0,0,0,0,0,0,0,0
Dragon Ball Z: Attack of the Saiyans,0.12,0.02,0.21,0.01,0.36,Role-Playing,Namco Bandai Games,1,8.0,0,0,0,0,0,0,0,1,0,0,0,0
Chicken Blaster,0.32999999999999996,0.0,0.0,0.02,0.36,Shooter,Zushi Games,2,8.0,0,0,0,0,0,0,0,0,1,0,0,0
Bookworm,0.32,0.02,0.0,0.02,0.36,Puzzle,Unknown,6,10.5,0,0,0,0,0,1,0,0,0,0,0,0
Bookworm,0.32,0.02,0.0,0.02,0.36,Puzzle,PopCap Games,6,10.5,0,0,0,0,0,1,0,0,0,0,0,0
Jurassic Park,0.25,0.1,0.0,0.01,0.36,Action,Ocean,8,24.0,1,0,0,0,0,0,0,0,0,0,0,0
Formula 1 Championship Edition,0.06,0.04,0.23,0.02,0.36,Racing,Psygnosis,1,20.0,0,0,0,0,0,0,1,0,0,0,0,0
Monster Rancher 3,0.11,0.09,0.14,0.03,0.36,Simulation,Tecmo Koei,1,16.0,0,0,0,0,0,0,0,0,0,1,0,0
Shrek,0.25,0.1,0.0,0.01,0.36,Platform,TDK Mediactive,2,16.0,0,0,0,0,1,0,0,0,0,0,0,0
MechWarrior 2: 31st Century Combat,0.2,0.14,0.0,0.02,0.36,Simulation,Activision,4,20.0,0,0,0,0,0,0,0,0,0,1,0,0
MechAssault 2: Lone Wolf,0.27,0.08,0.0,0.01,0.36,Simulation,Microsoft Game Studios,1,13.0,0,0,0,0,0,0,0,0,0,1,0,0
WRC: FIA World Rally Championship,0.02,0.26,0.01,0.06,0.36,Racing,Black Bean Games,2,10.333333333333334,0,0,0,0,0,0,1,0,0,0,0,0
WRC: FIA World Rally Championship,0.02,0.26,0.01,0.06,0.36,Racing,Sony Computer Entertainment,2,10.333333333333334,0,0,0,0,0,0,1,0,0,0,0,0
Iron Chef America: Supreme Cuisine,0.33999999999999997,0.0,0.0,0.02,0.36,Simulation,Destineer,2,9.0,0,0,0,0,0,0,0,0,0,1,0,0
Gundam Breaker,0.0,0.0,0.36,0.0,0.36,Action,Namco Bandai Games,2,4.0,1,0,0,0,0,0,0,0,0,0,0,0
Dark Summit,0.23,0.11,0.0,0.03,0.36,Sports,THQ,3,15.5,0,0,0,0,0,0,0,0,0,0,1,0
FaceBreaker,0.28,0.04,0.0,0.04,0.36,Fighting,Electronic Arts,2,9.0,0,0,1,0,0,0,0,0,0,0,0,0
Tom and Jerry in War of the Whiskers,0.19999999999999998,0.12,0.0,0.03,0.36,Fighting,NewKidCo,3,14.333333333333334,0,0,1,0,0,0,0,0,0,0,0,0
Tom and Jerry in War of the Whiskers,0.19999999999999998,0.12,0.0,0.03,0.36,Fighting,Ubisoft,3,14.333333333333334,0,0,1,0,0,0,0,0,0,0,0,0
North American Hunting Extravaganza,0.33,0.0,0.0,0.03,0.36,Sports,Zushi Games,1,9.0,0,0,0,0,0,0,0,0,0,0,1,0
Castlevania: Order of Ecclesia,0.27,0.02,0.04,0.03,0.36,Platform,Konami Digital Entertainment,1,9.0,0,0,0,0,1,0,0,0,0,0,0,0
Elite Beat Agents,0.3,0.03,0.0,0.03,0.36,Misc,Nintendo,1,11.0,0,0,0,1,0,0,0,0,0,0,0,0
Rock Band Track Pack Volume 1,0.23,0.09,0.0,0.04,0.36,Misc,MTV Games,1,9.0,0,0,0,1,0,0,0,0,0,0,0,0
Hamtaro: Ham-Ham Heartbreak,0.26,0.1,0.0,0.01,0.36,Action,Nintendo,1,15.0,1,0,0,0,0,0,0,0,0,0,0,0
Dora the Explorer: Journey to the Purple Planet,0.21,0.11,0.0,0.03,0.36,Adventure,Global Star,2,12.0,0,1,0,0,0,0,0,0,0,0,0,0
Astro Boy: The Video Game,0.28,0.04,0.0,0.03,0.36,Action,D3Publisher,1,8.0,1,0,0,0,0,0,0,0,0,0,0,0
